fips,state,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop
08005,CO,651215,7083,3.2,76665,10.3,-2.9,22.9,42.2,285.7
08007,CO,13765,448,3.4,53337,20.7,-4.7,18.5,38.9,285.7
08009,CO,3585,22,1.8,38294,29.3,-0.1,24.6,22.1,285.7
08011,CO,5882,25,3.2,37659,30.4,-0.4,25.4,12.4,285.7
08013,CO,326078,2005,2.8,83591,6.7,-3.2,18.8,60.8,285.7
08014,CO,69267,1035,2.9,96924,5.1,-1.3,23.2,55.5,285.7
08015,CO,20027,376,2.7,56168,13.7,-7.3,14.8,33.5,285.7
08017,CO,1876,16,1.8,54504,20.4,-3.4,23.9,20,285.7
08019,CO,9605,23,3,74019,10.2,-6.4,14.2,46.5,285.7
08021,CO,8200,47,4.4,38777,27.5,-6.2,16,20.2,285.7
08023,CO,3828,56,4.3,31557,36.9,-4.4,17.1,19.1,285.7
08025,CO,5858,60,4.4,35880,29.7,-0.8,24.8,9.6,285.7
08027,CO,4954,81,3.7,55242,24.9,-3.9,16.4,36.9,285.7
08029,CO,30953,416,3.9,46786,23.1,-2.7,21.2,21.2,285.7
08031,CO,716492,11053,3.2,68069,16.7,-1.7,23.4,47.9,285.7
08033,CO,2074,21,2.8,47482,16.5,-4.9,18,21.3,285.7
08035,CO,342776,7108,2.9,120670,2.5,-1.9,20.5,57.9,285.7
08037,CO,54993,1,2.7,86896,8.1,-6.3,16.3,48.1,285.7
08039,CO,26282,547,2.8,98247,7.2,-2.8,21.8,35.9,285.7
08041,CO,713856,13056,3.9,67923,13.2,-1.3,21.6,37.9,285.7
08043,CO,48021,414,5.2,47885,22.1,-2.7,19.4,18.2,285.7
08045,CO,59770,657,3.2,74421,11.4,-4.5,19.2,30,285.7
08047,CO,6121,95,2.5,72949,10.1,-5.3,15.3,38.7,285.7
08049,CO,15525,169,2.7,69214,11.7,-7.2,14.9,37.8,285.7
08051,CO,17246,315,2.6,61268,10.4,-8,15.3,55.3,285.7
08053,CO,811,20,2.6,62149,17,-8.2,13.3,43.9,285.7
08055,CO,6889,244,6.5,38242,37.4,-0.6,20.1,21.4,285.7
08057,CO,1399,20,2.6,51457,20,-7.6,14.3,16.8,285.7
08059,CO,580233,4416,3,85550,8,-2.3,19.8,44.1,285.7
08061,CO,1383,16,1.8,44704,19.2,-2.4,24.6,21.5,285.7
08063,CO,7163,11,2,48342,20.1,-3.1,23.6,18.9,285.7
08065,CO,7824,71,2.6,51802,18.5,-8.9,12.5,34,285.7
08067,CO,56310,769,3,66219,10.8,-4.2,19.2,43.9,285.7
08069,CO,350518,6525,2.8,71306,8.5,-4.4,17.7,46.3,285.7
08071,CO,14503,272,4.7,41485,26.6,0.8,23,19.7,285.7
08073,CO,5610,80,2.4,46690,21,-2.4,23.3,12.8,285.7
08075,CO,21528,-137,2.9,53168,16.9,-4.9,22.6,20.5,285.7
08077,CO,153207,1801,4.1,51132,19.7,-2.6,21.9,27.4,285.7
08079,CO,776,17,2.6,60210,15.9,-8.1,13.6,39.9,285.7
08081,CO,13188,93,3.7,59500,16.7,-5.5,20.2,17.1,285.7
08083,CO,26158,10,4.7,50180,28.8,-2,21.7,28.6,285.7
08085,CO,42214,429,3.7,52576,17.4,-2.4,21.8,23.9,285.7
08087,CO,28558,330,2.9,55387,15.3,-4.2,23.2,17.6,285.7
08089,CO,18432,29,5,40064,29.9,0.1,25.2,17.7,285.7
08091,CO,4833,24,3.5,68900,11,-5.6,17.1,48.6,285.7
08093,CO,18556,636,2.9,72121,12.1,-6.4,14.9,30.2,285.7
08095,CO,4286,-11,1.9,52367,15.6,-6.2,22.7,25.5,285.7
08097,CO,17950,-2,3.8,89034,6.2,-6.9,15.2,63.1,285.7
08099,CO,12164,93,3.3,42455,28.6,-1.4,25.4,17.4,285.7
08101,CO,167529,1103,4.9,48308,22.9,0.8,24.3,22,285.7
08103,CO,6336,-58,4.4,63411,12,-4.6,20.2,20.2,285.7
08105,CO,11250,-56,4.8,44171,23.4,-7.8,15.6,23.7,285.7
08107,CO,25733,387,2.7,81033,7.3,-6.4,16.6,50.4,285.7
08109,CO,6843,200,4.6,36869,37,-7.6,15.6,22.9,285.7
08111,CO,762,51,3.1,46878,20.4,-8.6,12.3,34.5,285.7
08113,CO,8191,144,3.5,69458,9.8,-3.8,19.3,56.7,285.7
08115,CO,2303,-31,2.6,40009,25.9,-6.4,22.4,20.8,285.7
08117,CO,31007,3,2.2,80078,7.1,-7.4,13.6,51,285.7
08119,CO,25083,445,3.7,64850,12.5,-5,16.2,34,285.7
08121,CO,4909,-27,2.4,47869,19.6,-3.9,23.1,16.2,285.7
08123,CO,314305,9031,3,75629,13.2,-3.6,22.2,26.7,285.7
08125,CO,10020,5,2,53253,16.6,-4.6,23.4,22.1,285.7
09001,CT,943823,366,4,91183,12.7,0.1,22.2,47.4,352.1
09003,CT,892697,-234,4.2,73037,15.5,-1,21.8,37.8,352.1
09005,CT,181111,-599,3.8,76304,8.1,-2.6,20.3,35.1,352.1
09007,CT,162682,-173,3.5,88709,8.1,-0.3,22,41.5,352.1
09009,CT,857620,-174,4.4,67720,16.7,-0.5,22.3,34.9,352.1
09011,CT,266784,-1042,4,67790,12.5,-0.2,21.7,33.3,352.1
09013,CT,150921,-12,3.6,89584,6.4,-1.2,21.1,41.2,352.1
09015,CT,117027,653,4.5,65182,14.8,-1.2,21.1,24.1,352.1
10001,DE,178550,2105,4.1,54980,19.6,3.2,24.6,23.6,284.6
10003,DE,559335,2916,3.7,69562,15.5,2.2,24.6,35.9,284.6
10005,DE,229286,5072,3.7,59821,21.6,4.7,24.9,26.5,284.6
11001,DC,702455,6764,5.6,82533,24.5,NA,NA,57.6,847
12001,FL,269956,3136,3.3,51026,21.1,18.4,27.7,42.5,265.2
12003,FL,28355,125,3.4,52804,21.7,17.1,27.8,13.4,265.2
12005,FL,185287,1241,4,51777,20.5,17.7,28.1,22.8,265.2
12007,FL,27732,599,3.3,45075,26,18,27.6,10.6,265.2
12009,FL,596849,8584,3.5,57612,16.5,20.6,28.1,29.3,265.2
12011,FL,1951260,16789,3.4,57200,17.3,23.2,28.8,31.9,265.2
12013,FL,14587,150,4.1,38323,29.3,17.2,27.9,9.9,265.2
12015,FL,184998,3461,4,52724,20,22.1,28.6,23.2,265.2
12017,FL,147929,2417,5.2,41556,24.5,19.4,28.4,17.6,265.2
12019,FL,216072,3895,3.3,62835,12.1,18.4,28,24.1,265.2
12021,FL,378488,6143,3.4,70649,18.5,22.8,28.7,36.2,265.2
12023,FL,70503,678,3.7,46195,26.4,17,27.6,15.6,265.2
12027,FL,37489,237,3.8,37233,34.5,21.7,28.1,11.4,265.2
12029,FL,16700,64,4.2,37148,31.1,18,28.1,9.4,265.2
12031,FL,950181,12539,3.6,55733,21.8,17.9,28.2,29.2,265.2
12033,FL,315534,2276,3.5,50644,24.4,16.8,28,26.4,265.2
12035,FL,112067,2130,4,58975,18.4,19.5,28.2,24.4,265.2
12037,FL,11736,-16,3.5,40297,36.6,17.8,28.3,17.1,265.2
12039,FL,45894,-78,4.6,42259,38.2,16.9,27.8,16.7,265.2
