item,year,month,day,views
Bell Pepper,2020,2,14,1282
Bell Pepper,2020,2,15,1290
Bell Pepper,2020,2,16,1416
Bell Pepper,2020,2,17,1505
Bell Pepper,2020,2,18,1414
Bell Pepper,2020,2,19,1433
Bell Pepper,2020,2,20,1360
Bell Pepper,2020,2,21,1349
Bell Pepper,2020,2,22,1918
Bell Pepper,2020,2,23,1516
Bell Pepper,2020,2,24,1400
Bell Pepper,2020,2,25,1470
Crab,2019,12,28,268
Crab,2019,12,29,281
Crab,2019,12,30,251
Crab,2019,12,31,222
Crab,2020,1,1,210
Crab,2020,1,2,299
Crab,2020,1,3,267
Crab,2020,1,4,259
Crab,2020,1,5,329
Crab,2020,1,6,298
Crab,2020,1,7,277
Crab,2020,1,8,360
Crab,2020,1,9,335
Crab,2020,1,10,330
Crab,2020,1,11,259
Crab,2020,1,12,306
Crab,2020,1,13,329
Crab,2020,1,14,273
Crab,2020,1,15,270
Crab,2020,1,16,327
Crab,2020,1,17,283
Crab,2020,1,18,291
Crab,2020,1,19,303
Crab,2020,1,20,296
Crab,2020,1,21,307
Crab,2020,1,22,300
Crab,2020,1,23,307
Crab,2020,1,24,451
Crab,2020,1,25,253
Crab,2020,1,26,286
Crab,2020,1,27,290
Crab,2020,1,28,356
Crab,2020,1,29,300
Crab,2020,1,30,327
Crab,2020,1,31,305
Crab,2020,2,1,266
Crab,2020,2,2,275
Crab,2020,2,3,334
Crab,2020,2,4,334
Crab,2020,2,5,295
Crab,2020,2,6,277
Crab,2020,2,7,312
Crab,2020,2,8,279
Crab,2020,2,9,301
Crab,2020,2,10,331
Crab,2020,2,11,315
Crab,2020,2,12,295
Crab,2020,2,13,290
Crab,2020,2,14,319
Crab,2020,2,15,289
Crab,2020,2,16,292
Crab,2020,2,17,312
Crab,2020,2,18,333
Crab,2020,2,19,338
Crab,2020,2,20,313
Crab,2020,2,21,298
Crab,2020,2,22,278
Crab,2020,2,23,317
Crab,2020,2,24,316
Crab,2020,2,25,324
Broccoli,2019,12,28,1712
Broccoli,2019,12,29,1917
Broccoli,2019,12,30,1828
Broccoli,2019,12,31,1637
Broccoli,2020,1,1,1688
Broccoli,2020,1,2,2028
Broccoli,2020,1,3,1922
Broccoli,2020,1,4,2014
Broccoli,2020,1,5,2049
Broccoli,2020,1,6,2128
Broccoli,2020,1,7,2061
Broccoli,2020,1,8,1990
Broccoli,2020,1,9,2255
Broccoli,2020,1,10,2026
Broccoli,2020,1,11,1993
Broccoli,2020,1,12,2107
Broccoli,2020,1,13,2109
Broccoli,2020,1,14,2203
Broccoli,2020,1,15,2114
Broccoli,2020,1,16,2453
Broccoli,2020,1,17,2084
Broccoli,2020,1,18,1940
Broccoli,2020,1,19,2528
Broccoli,2020,1,20,2279
Broccoli,2020,1,21,2400
Broccoli,2020,1,22,2312
Broccoli,2020,1,23,2150
Broccoli,2020,1,24,2060
Broccoli,2020,1,25,2008
Broccoli,2020,1,26,2098
Broccoli,2020,1,27,2278
Broccoli,2020,1,28,2212
Broccoli,2020,1,29,2288
Broccoli,2020,1,30,2195
Broccoli,2020,1,31,1968
Broccoli,2020,2,1,1838
Broccoli,2020,2,2,2000
Broccoli,2020,2,3,1891
Broccoli,2020,2,4,1931
Broccoli,2020,2,5,2035
Broccoli,2020,2,6,2000
Broccoli,2020,2,7,1734
Broccoli,2020,2,8,1800
Broccoli,2020,2,9,2281
Broccoli,2020,2,10,1973
Broccoli,2020,2,11,1965
Broccoli,2020,2,12,2131
Broccoli,2020,2,13,1892
Broccoli,2020,2,14,1690
Broccoli,2020,2,15,1724
Broccoli,2020,2,16,1986
Broccoli,2020,2,17,7243
Broccoli,2020,2,18,5385
Broccoli,2020,2,19,3200
Broccoli,2020,2,20,2523
Broccoli,2020,2,21,2325
Broccoli,2020,2,22,2475
Broccoli,2020,2,23,2522
Broccoli,2020,2,24,2844
Broccoli,2020,2,25,2303
Cabbage,2019,12,28,1125
Cabbage,2019,12,29,1117
Cabbage,2019,12,30,1125
Cabbage,2019,12,31,1029
Cabbage,2020,1,1,1302
Cabbage,2020,1,2,1399
Cabbage,2020,1,3,1263
Cabbage,2020,1,4,1356
Cabbage,2020,1,5,1402
Cabbage,2020,1,6,1412
Cabbage,2020,1,7,1375
Cabbage,2020,1,8,1317
Cabbage,2020,1,9,1386
Cabbage,2020,1,10,1223
Cabbage,2020,1,11,1166
Cabbage,2020,1,12,1313
Cabbage,2020,1,13,1406
Cabbage,2020,1,14,1391
Cabbage,2020,1,15,1334
Cabbage,2020,1,16,1319
Cabbage,2020,1,17,1243
Cabbage,2020,1,18,1207
Cabbage,2020,1,19,1417
Cabbage,2020,1,20,1484
Cabbage,2020,1,21,1489
Cabbage,2020,1,22,1371
Cabbage,2020,1,23,1359
Cabbage,2020,1,24,1255
Cabbage,2020,1,25,1231
Cabbage,2020,1,26,1332
Cabbage,2020,1,27,1384
Cabbage,2020,1,28,1409
Cabbage,2020,1,29,1418
Cabbage,2020,1,30,1375
Cabbage,2020,1,31,1189
Cabbage,2020,2,1,1056
Cabbage,2020,2,2,1324
Cabbage,2020,2,3,1293
Cabbage,2020,2,4,1339
Cabbage,2020,2,5,1271
Cabbage,2020,2,6,1234
Cabbage,2020,2,7,1202
Cabbage,2020,2,8,1155
Cabbage,2020,2,9,1327
Cabbage,2020,2,10,1285
Cabbage,2020,2,11,1351
Cabbage,2020,2,12,1380
Cabbage,2020,2,13,1296
Cabbage,2020,2,14,1104
Cabbage,2020,2,15,1096
Cabbage,2020,2,16,1245
Cabbage,2020,2,17,1660
Cabbage,2020,2,18,1411
Cabbage,2020,2,19,1385
Cabbage,2020,2,20,1304
Cabbage,2020,2,21,1236
Cabbage,2020,2,22,1175
Cabbage,2020,2,23,1294
Cabbage,2020,2,24,1384
Cabbage,2020,2,25,1290
Cantaloupe,2019,12,28,463
Cantaloupe,2019,12,29,506
Cantaloupe,2019,12,30,541
Cantaloupe,2019,12,31,543
Cantaloupe,2020,1,1,489
Cantaloupe,2020,1,2,579
Cantaloupe,2020,1,3,575
Cantaloupe,2020,1,4,595
Cantaloupe,2020,1,5,575
Cantaloupe,2020,1,6,606
Cantaloupe,2020,1,7,605
Cantaloupe,2020,1,8,547
Cantaloupe,2020,1,9,559
Cantaloupe,2020,1,10,580
Cantaloupe,2020,1,11,563
Cantaloupe,2020,1,12,633
Cantaloupe,2020,1,13,608
Cantaloupe,2020,1,14,614
Cantaloupe,2020,1,15,750
Cantaloupe,2020,1,16,574
Cantaloupe,2020,1,17,634
Cantaloupe,2020,1,18,552
Cantaloupe,2020,1,19,611
Cantaloupe,2020,1,20,563
Cantaloupe,2020,1,21,677
Cantaloupe,2020,1,22,633
Cantaloupe,2020,1,23,640
Cantaloupe,2020,1,24,565
Cantaloupe,2020,1,25,609
Cantaloupe,2020,1,26,641
Cantaloupe,2020,1,27,590
Cantaloupe,2020,1,28,597
Cantaloupe,2020,1,29,625
Cantaloupe,2020,1,30,570
Cantaloupe,2020,1,31,587
Cantaloupe,2020,2,1,533
Cantaloupe,2020,2,2,537
Cantaloupe,2020,2,3,576
Cantaloupe,2020,2,4,632
Cantaloupe,2020,2,5,577
Cantaloupe,2020,2,6,591
Cantaloupe,2020,2,7,559
Cantaloupe,2020,2,8,570
Cantaloupe,2020,2,9,599
Cantaloupe,2020,2,10,679
Cantaloupe,2020,2,11,648
Cantaloupe,2020,2,12,582
Cantaloupe,2020,2,13,567
Cantaloupe,2020,2,14,475
Cantaloupe,2020,2,15,561
Cantaloupe,2020,2,16,601
Cantaloupe,2020,2,17,598
Cantaloupe,2020,2,18,621
Cantaloupe,2020,2,19,606
Cantaloupe,2020,2,20,586
Cantaloupe,2020,2,21,599
Cantaloupe,2020,2,22,569
Cantaloupe,2020,2,23,617
Cantaloupe,2020,2,24,621
Cantaloupe,2020,2,25,621
Carrot,2019,12,28,1079
Carrot,2019,12,29,1268
Carrot,2019,12,30,1237
Carrot,2019,12,31,1143
Carrot,2020,1,1,1169
Carrot,2020,1,2,1393
Carrot,2020,1,3,1451
Carrot,2020,1,4,1527
Carrot,2020,1,5,1588
Carrot,2020,1,6,1619
Carrot,2020,1,7,1586
Carrot,2020,1,8,1631
Carrot,2020,1,9,1660
Carrot,2020,1,10,1643
Carrot,2020,1,11,1391
Carrot,2020,1,12,1577
Carrot,2020,1,13,1702
Carrot,2020,1,14,1672
Carrot,2020,1,15,1642
Carrot,2020,1,16,1616
Carrot,2020,1,17,1545
Carrot,2020,1,18,1585
Carrot,2020,1,19,1706
Carrot,2020,1,20,1741
Carrot,2020,1,21,1877
Carrot,2020,1,22,1836
Carrot,2020,1,23,1793
Carrot,2020,1,24,1525
Carrot,2020,1,25,1448
Carrot,2020,1,26,1514
Carrot,2020,1,27,1831
Carrot,2020,1,28,1854
Carrot,2020,1,29,1715
Carrot,2020,1,30,1718
Carrot,2020,1,31,1525
Carrot,2020,2,1,1348
Carrot,2020,2,2,1578
Carrot,2020,2,3,1593
Carrot,2020,2,4,1634
Carrot,2020,2,5,1725
Carrot,2020,2,6,1642
Carrot,2020,2,7,1485
Carrot,2020,2,8,1402
Carrot,2020,2,9,1550
Carrot,2020,2,10,1638
Carrot,2020,2,11,1739
Carrot,2020,2,12,1756
Carrot,2020,2,13,1728
Carrot,2020,2,14,1439
Carrot,2020,2,15,1398
Carrot,2020,2,16,1571
Carrot,2020,2,17,1703
Carrot,2020,2,18,1792
Carrot,2020,2,19,1753
Carrot,2020,2,20,1552
Carrot,2020,2,21,1523
Carrot,2020,2,22,1333
Carrot,2020,2,23,1548
Carrot,2020,2,24,2205
Carrot,2020,2,25,1816
Catfish,2019,12,28,1224
Catfish,2019,12,29,1369
Catfish,2019,12,30,1396
Catfish,2019,12,31,1284
Catfish,2020,1,1,1361
Catfish,2020,1,2,1514
Catfish,2020,1,3,1596
Catfish,2020,1,4,1431
Catfish,2020,1,5,1653
Catfish,2020,1,6,1455
Catfish,2020,1,7,1424
Catfish,2020,1,8,1605
Catfish,2020,1,9,1646
Catfish,2020,1,10,1584
Catfish,2020,1,11,1535
Catfish,2020,1,12,1740
Catfish,2020,1,13,1618
Catfish,2020,1,14,1553
Catfish,2020,1,15,1381
Catfish,2020,1,16,1586
Catfish,2020,1,17,1605
Catfish,2020,1,18,1530
Catfish,2020,1,19,1698
Catfish,2020,1,20,1586
Catfish,2020,1,21,2164
Catfish,2020,1,22,1822
Catfish,2020,1,23,1785
Catfish,2020,1,24,1768
Catfish,2020,1,25,1657
Catfish,2020,1,26,1718
Catfish,2020,1,27,1718
Catfish,2020,1,28,2149
Catfish,2020,1,29,1699
Catfish,2020,1,30,1608
Catfish,2020,1,31,1543
Catfish,2020,2,1,1498
Catfish,2020,2,2,1669
Catfish,2020,2,3,1635
Catfish,2020,2,4,1662
Catfish,2020,2,5,1506
Catfish,2020,2,6,1573
Catfish,2020,2,7,1424
Catfish,2020,2,8,1313
Catfish,2020,2,9,1588
Catfish,2020,2,10,1506
Catfish,2020,2,11,1555
Catfish,2020,2,12,1592
Catfish,2020,2,13,1629
Catfish,2020,2,14,1544
Catfish,2020,2,15,1397
Catfish,2020,2,16,1744
Catfish,2020,2,17,1857
Catfish,2020,2,18,1624
Catfish,2020,2,19,1596
Catfish,2020,2,20,1440
Catfish,2020,2,21,1371
Catfish,2020,2,22,1401
Catfish,2020,2,23,1598
Catfish,2020,2,24,1712
Catfish,2020,2,25,1730
Cauliflower,2019,12,28,828
Cauliflower,2019,12,29,905
Cauliflower,2019,12,30,920
Cauliflower,2019,12,31,815
Cauliflower,2020,1,1,869
Cauliflower,2020,1,2,1038
Cauliflower,2020,1,3,1093
Cauliflower,2020,1,4,1260
Cauliflower,2020,1,5,1245
Cauliflower,2020,1,6,1188
Cauliflower,2020,1,7,1183
Cauliflower,2020,1,8,1102
Cauliflower,2020,1,9,1237
Cauliflower,2020,1,10,1121
Cauliflower,2020,1,11,1030
Cauliflower,2020,1,12,1209
Cauliflower,2020,1,13,1302
Cauliflower,2020,1,14,1153
Cauliflower,2020,1,15,1103
Cauliflower,2020,1,16,1084
Cauliflower,2020,1,17,1177
Cauliflower,2020,1,18,1067
Cauliflower,2020,1,19,1331
Cauliflower,2020,1,20,1264
Cauliflower,2020,1,21,1235
Cauliflower,2020,1,22,1222
Cauliflower,2020,1,23,1069
Cauliflower,2020,1,24,1033
Cauliflower,2020,1,25,1002
Cauliflower,2020,1,26,1160
Cauliflower,2020,1,27,1190
Cauliflower,2020,1,28,1138
Cauliflower,2020,1,29,1252
Cauliflower,2020,1,30,1036
Cauliflower,2020,1,31,959
Cauliflower,2020,2,1,950
Cauliflower,2020,2,2,1061
Cauliflower,2020,2,3,1067
Cauliflower,2020,2,4,1045
Cauliflower,2020,2,5,1011
Cauliflower,2020,2,6,1045
Cauliflower,2020,2,7,937
Cauliflower,2020,2,8,944
Cauliflower,2020,2,9,1122
Cauliflower,2020,2,10,1083
Cauliflower,2020,2,11,1113
Cauliflower,2020,2,12,1064
Cauliflower,2020,2,13,964
Cauliflower,2020,2,14,964
Cauliflower,2020,2,15,916
Cauliflower,2020,2,16,991
Cauliflower,2020,2,17,1744
Cauliflower,2020,2,18,1468
Cauliflower,2020,2,19,1205
Cauliflower,2020,2,20,1134
Cauliflower,2020,2,21,963
Cauliflower,2020,2,22,1092
Cauliflower,2020,2,23,1107
Cauliflower,2020,2,24,1145
Cauliflower,2020,2,25,1158
Celery,2019,12,28,980
Celery,2019,12,29,983
Celery,2019,12,30,1035
Celery,2019,12,31,947
Celery,2020,1,1,920
Celery,2020,1,2,1049
Celery,2020,1,3,1010
Celery,2020,1,4,1123
Celery,2020,1,5,1128
Celery,2020,1,6,1130
Celery,2020,1,7,1102
Celery,2020,1,8,1035
Celery,2020,1,9,1117
Celery,2020,1,10,1063
