item,page,img_number,path
Banana,banana,4,data/wiki_images/120px-M._acuminata_x_balbisiana_female_flower_detail.jpg
Banana,banana,5,data/wiki_images/110px-2018_06_TropicalIslands_IMG_2170.jpg
Banana,banana,6,data/wiki_images/90px-Banana_tree_in_Chandigarh.jpg
Banana,banana,7,data/wiki_images/90px-Banana_three_in_R%C3%A9union.jpg
Banana,banana,8,data/wiki_images/90px-Banana%27s_DNA_Strand.jpg
Banana,banana,9,data/wiki_images/170px-Baby_Banana_Plant.jpg
Banana,banana,10,data/wiki_images/220px-Nedravazhakola.jpg
Banana,banana,11,data/wiki_images/220px-Banana_trees%2C_Mahamaya_Lake_%2801%29.jpg
Banana,banana,12,data/wiki_images/220px-Bananas_white_background_DS.jpg
Banana,banana,13,data/wiki_images/220px-Inside_a_wild-type_banana.jpg
Banana,banana,14,data/wiki_images/220px-Acta_Eruditorum_-_III_musa_arabum_pala_plinii%2C_1734_%E2%80%93_BEIC_13446956.jpg
Banana,banana,15,data/wiki_images/220px-Bananas.jpg
Banana,banana,16,data/wiki_images/220px-Banana-fluorescence-081108.jpg
Banana,banana,17,data/wiki_images/170px-BananasBlueBagStLucia.jpg
Banana,banana,18,data/wiki_images/220px-ITC_cold_room.jpg
Banana,banana,19,data/wiki_images/160px-%E0%B0%85%E0%B0%B0%E0%B0%9F%E0%B0%BF%E0%B0%95%E0%B0%BE%E0%B0%AF_%E0%B0%AE%E0%B0%B0%E0%B0%BF%E0%B0%AF%E0%B1%81_%E0%B0%A8%E0%B0%BF%E0%B0%AE%E0%B1%8D%E0%B0%AE%E0%B0%95%E0%B0%BE%E0%B0%AF_%E0%B0%AA%E0%B1%81%E0%B0%B2%E0%B1%81%E0%B0%B8%E0%B1%81_%E0%B0%95%E0%B1%82%E0%B0%B0.jpg
Banana,banana,20,data/wiki_images/160px-Bananajf.jpg
Banana,banana,21,data/wiki_images/160px-Nacatamales_in_steamer.jpg
Banana,banana,22,data/wiki_images/160px-Pisang_goreng_in_a_basket.jpg
Banana,banana,23,data/wiki_images/160px-YosriPengatPisang.jpg
Banana,banana,24,data/wiki_images/220px-River_Kaveri_worship_Tiruchirappalli.jpg
Banana,banana,25,data/wiki_images/220px-Thanin_market_banana_flowers_and_leaves.jpg
Banana,banana,26,data/wiki_images/170px-XRF-Tani-.jpg
Banana,banana,27,data/wiki_images/80px-Banana-Single.jpg
Chickpea,chickpea,1,data/wiki_images/220px-Sa-whitegreen-chickpea.jpg
Chickpea,chickpea,2,data/wiki_images/220px-Chickpea_BNC.jpg
Chickpea,chickpea,3,data/wiki_images/220px-Cicer_arietinum_noir_MHNT.BOT.2017.12.2.jpg
Chickpea,chickpea,4,data/wiki_images/220px-India_-_Varanasi_green_peas_-_2714.jpg
Chickpea,chickpea,5,data/wiki_images/150px-Chickpeas_Plant.jpg
Chickpea,chickpea,6,data/wiki_images/150px-Chickpea_pods.jpg
Chickpea,chickpea,7,data/wiki_images/150px-Chickpea_in_black_colour.jpg
Chickpea,chickpea,8,data/wiki_images/220px-Cicers_farm.jpg
Chickpea,chickpea,9,data/wiki_images/220px-Hummus_from_The_Nile.jpg
Chickpea,chickpea,10,data/wiki_images/220px-Dhokla_on_Gujrart.jpg
Chickpea,chickpea,11,data/wiki_images/240px-FOOD_Doubles_2.jpg
Chickpea,chickpea,12,data/wiki_images/270px-Farinata_di_ceci_01.jpg
Chickpea,chickpea,13,data/wiki_images/240px-Choleindia.jpg
Chickpea,chickpea,14,data/wiki_images/300px-Halua_of_Chickpeas.jpg
Chickpea,chickpea,15,data/wiki_images/135px-Aesthetic_Fried_Gram.jpg
String Bean,green_bean,1,data/wiki_images/220px-Heaps_of_beans.jpg
String Bean,green_bean,2,data/wiki_images/220px-Cut_Green_Beans.jpg
String Bean,green_bean,3,data/wiki_images/CDC_greenbean.jpg
String Bean,green_bean,4,data/wiki_images/220px-Four_Different_Varieties_of_Green_Beans_%28Phaseolus_vulgaris%29.jpg
String Bean,green_bean,5,data/wiki_images/220px-A_green_bean.jpg
String Bean,green_bean,6,data/wiki_images/220px-Pickled_Beans_%283920862383%29.jpg
String Bean,green_bean,7,data/wiki_images/220px-FEMA_-_15774_-_Photograph_by_Win_Henderson_taken_on_09-17-2005_in_Louisiana.jpg
String Bean,green_bean,8,data/wiki_images/220px-BBC_Gardeners_World_-_2017-06-15_-_Andy_Mabbett_-_02.jpg
Beef,beef,1,data/wiki_images/220px-Standing-rib-roast.jpg
Beef,beef,2,data/wiki_images/220px-Wagyu.jpg
Beef,beef,3,data/wiki_images/220px-Hamburger_-_veggies_-_potato_-_parmesan_cheese_food.jpg
Beef,beef,4,data/wiki_images/220px-Rump_steak.jpg
Beef,beef,5,data/wiki_images/220px-Ground_Beef.jpg
Beef,beef,6,data/wiki_images/220px-Roast_beef.jpg
Beef,beef,7,data/wiki_images/220px-Beef_Roasted_with_Vinegar.jpg
Beef,beef,8,data/wiki_images/220px-Raw_beef_slices.jpg
Beef,beef,9,data/wiki_images/220px-Beef_Curry_in_Bangladesh.jpg
Beef,beef,10,data/wiki_images/300px-Sacred_cow2.jpg
Beef,beef,11,data/wiki_images/100px-FoodMeat.jpg
Beef,beef,12,data/wiki_images/100px-Plateau_van_zeevruchten.jpg
Bell Pepper,bell_pepper,1,data/wiki_images/220px-Green-Yellow-Red-Pepper-2009.jpg
Bell Pepper,bell_pepper,2,data/wiki_images/220px-November_15%2C_2012%2C_The_Right_Cut_%288223639251%29.jpg
Crab,callinectes_sapidus,1,data/wiki_images/220px-The_Childrens_Museum_of_Indianapolis_-_Atlantic_blue_crab.jpg
Crab,callinectes_sapidus,2,data/wiki_images/220px-Line2243_-_Flickr_-_NOAA_Photo_Library.jpg
Crab,callinectes_sapidus,3,data/wiki_images/220px-Line0806_-_Flickr_-_NOAA_Photo_Library.jpg
Crab,callinectes_sapidus,4,data/wiki_images/220px-Female_blue_crab_with_eggs.jpg
Crab,callinectes_sapidus,5,data/wiki_images/220px-Schwimmkrabben_gekocht.jpg
Crab,callinectes_sapidus,6,data/wiki_images/220px-Martha_Reeves_takes_on_a_Maryland_crab.jpg
Crab,callinectes_sapidus,7,data/wiki_images/220px-HD.6D.417_%2810946254725%29.jpg
Broccoli,broccoli,1,data/wiki_images/220px-Broccoli_and_cross_section_edit.jpg
Broccoli,broccoli,2,data/wiki_images/220px-Broccoli_plants_growing_in_New_Jersey_in_April.jpg
Broccoli,broccoli,3,data/wiki_images/220px-Sa_broccoli_florets.jpg
Broccoli,broccoli,4,data/wiki_images/120px-NRCSAZ02078_-_Arizona_%28439%29%28NRCS_Photo_Gallery%29.jpg
Broccoli,broccoli,5,data/wiki_images/90px-Broccoli_flowers_2525385935_e13d4de4c4_b.jpg
Broccoli,broccoli,6,data/wiki_images/120px-Cavolfiore_Violetto_di_Sicilia.jpg
Broccoli,broccoli,7,data/wiki_images/90px-%E5%B7%A8%E7%84%A1%E9%9C%B8%E9%9D%92%E8%8A%B1%E8%8F%9C_20191121171730.jpg
Broccoli,broccoli,8,data/wiki_images/32px-Veranotrigo.jpg
Broccoli,broccoli,9,data/wiki_images/110px-Broccoli_and_cross_section_edit.jpg
Cabbage,cabbage,1,data/wiki_images/220px-Cabbage_and_cross_section_on_white.jpg
Cabbage,cabbage,2,data/wiki_images/220px-Chou_1.jpg
Cabbage,cabbage,3,data/wiki_images/170px-Brassica_oleracea_Helgoland1.jpg
Cabbage,cabbage,4,data/wiki_images/220px-Tacuinum_Sanitatis-cabbage_harvest.jpg
Cabbage,cabbage,5,data/wiki_images/220px-Dojranski_zelki.jpg
Cabbage,cabbage,6,data/wiki_images/170px-Cabbages_Green_and_Purple_2120px.jpg
Cabbage,cabbage,7,data/wiki_images/220px-Cabbage.jpg
Cabbage,cabbage,8,data/wiki_images/220px-Groene_savooiekool_schade_van_kooluil_%28Mamestra_brassicae_damage%29.jpg
Cabbage,cabbage,9,data/wiki_images/220px-%E0%B0%95%E0%B1%8D%E0%B0%AF%E0%B0%BE%E0%B0%AC%E0%B1%87%E0%B0%9C%E0%B1%80_%E0%B0%AE%E0%B0%B0%E0%B0%BF%E0%B0%AF%E0%B1%81_%E0%B0%AA%E0%B1%86%E0%B0%B8%E0%B0%B0%E0%B0%AA%E0%B0%AA%E0%B1%8D%E0%B0%AA%E0%B1%81_%E0%B0%95%E0%B1%82%E0%B0%B0_%282%29.jpg
Cabbage,cabbage,10,data/wiki_images/110px-Broccoli_and_cross_section_edit.jpg
Cantaloupe,cantaloupe,1,data/wiki_images/220px-Cantaloupes.jpg
Cantaloupe,cantaloupe,2,data/wiki_images/220px-Cantaloupe_skin.jpg
Cantaloupe,cantaloupe,3,data/wiki_images/235px-Canteloupe_and_cross_section.jpg
Carrot,carrot,1,data/wiki_images/220px-Vegetable-Carrot-Bundle-wStalks.jpg
Carrot,carrot,2,data/wiki_images/220px-Carrot%2C_Juliana_Anicia_Codex.jpg
Carrot,carrot,3,data/wiki_images/220px-Carrots_of_many_colors.jpg
Carrot,carrot,4,data/wiki_images/220px-Carrots_are_up_%282634523693%29.jpg
Carrot,carrot,5,data/wiki_images/200px-Daucus_carota_May_2008-1_edit.jpg
Carrot,carrot,6,data/wiki_images/200px-DaucusCarota.jpg
Carrot,carrot,7,data/wiki_images/170px-Daucus_carota_flowers%2C_peen_%27Napoli%27_%281%29.jpg
Carrot,carrot,8,data/wiki_images/220px-Harvesting_carrots.jpg
Carrot,carrot,9,data/wiki_images/220px-Carrot_seeds.jpg
Carrot,carrot,10,data/wiki_images/220px-Daucus_carota_subsp._maximus_MHNT.BOT.2007.40.407.jpg
Catfish,catfish,1,data/wiki_images/220px-Nigerian_Fish_sellers_%2813%29.jpg
Catfish,catfish,2,data/wiki_images/220px-Clarias_batrachus.jpg
Catfish,catfish,3,data/wiki_images/220px-Corydoras_semiaquilus_1.jpg
Catfish,catfish,4,data/wiki_images/220px-Channelcat.jpg
Catfish,catfish,5,data/wiki_images/220px-Kryptopterus_2.jpg
Catfish,catfish,6,data/wiki_images/220px-Fisch_im_Restaurant.jpg
Catfish,catfish,7,data/wiki_images/220px-Image-Striped_eel_catfish2.jpg
