fips,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop
05063,37678,269,4.1,45596,20.3,6.3,25.7,18.9,207.6
05065,13593,-87,5.5,37828,27.9,5.6,25.1,13.8,207.6
05067,16811,-246,6.2,36573,30.4,6.6,26.2,10.2,207.6
05069,68114,-1155,5.3,38596,33.8,8.9,27.6,17.8,207.6
05071,26742,253,4.5,39381,33.5,6.2,26,15.8,207.6
05073,6682,-140,5.2,35527,34.8,10.1,28.4,16.5,207.6
05075,16434,-156,3.9,40308,26.8,6.2,25.7,15,207.6
05077,8985,-162,4.8,28080,50.9,9.2,27.1,8.9,207.6
05079,13383,-90,4.3,44951,27.1,9.5,27.6,8.9,207.6
05081,12326,-67,5.3,43559,24.1,9.7,28.5,11.4,207.6
05083,21737,-16,4,41471,29.5,6.9,27,12.1,207.6
05085,73657,779,3.2,56651,15.9,8.1,27.5,20.3,207.6
05087,16481,132,2.9,42674,26.5,4.8,24.5,12.5,207.6
05089,16722,262,4.1,36581,32,4.8,24.8,17.2,207.6
05091,43592,-292,4.8,42162,32.7,10,28.7,16.6,207.6
05093,41239,-834,5.7,36718,35.9,7.6,26.6,12.8,207.6
05095,6900,-152,4.3,32922,38.9,9.1,27.1,10.5,207.6
05097,8924,17,4.8,38318,30.8,8,27.2,10.8,207.6
05099,8326,-2,3.5,37626,30,9.5,27.9,15.4,207.6
05101,7805,-32,3.4,36078,32.9,4.8,24.4,16.2,207.6
05103,23606,-218,4.7,37624,32.7,9.5,27.9,16,207.6
05105,10352,17,4.2,45342,23.7,7.9,27.4,11.9,207.6
05107,18029,-535,6.1,29945,47.9,9.5,27.2,14,207.6
05109,10673,-48,4.2,41534,27.9,8.6,27.6,14.7,207.6
05111,23974,-147,3.8,37370,35.2,7.2,26.6,10.1,207.6
05113,20049,-113,4.2,39048,29.7,7.6,26.8,13.3,207.6
05115,64000,345,4.5,45788,20.4,6.8,26.3,22,207.6
05117,8074,-176,3.9,43245,24.1,8.4,27.2,15.1,207.6
05119,392680,-936,3.5,49957,25.9,8.1,27.4,34.1,207.6
05121,17948,303,4,37799,26.5,5.8,25.6,14,207.6
05123,25439,-499,5.2,33257,46,8.7,26.9,10.6,207.6
05125,121421,1752,3.1,63677,13,8.3,27.4,26.1,207.6
05127,10319,-55,3.7,35826,30.1,7.3,27.1,9.1,207.6
05129,7958,11,4.3,31659,34.9,5.3,24.7,12.5,207.6
05131,127753,-112,3.6,46843,23,7.3,27.4,19.7,207.6
05133,17139,-7,4.7,44100,29.5,9.3,28.1,11.5,207.6
05135,17366,166,4.8,36032,34.4,5.9,25.3,11.3,207.6
05137,12457,-60,4.5,34009,33,5.7,25.1,12.8,207.6
05139,39126,-294,5.6,45335,25.1,10.3,28.5,20.8,207.6
05141,16603,70,5.3,40486,26.9,6.2,25.5,14.1,207.6
05143,236961,4181,2.6,50893,16.9,5.2,25.2,32.8,207.6
05145,78727,-214,4.4,44811,22.4,7.6,26.8,21.4,207.6
05147,6490,-110,4.7,34306,36.4,7.7,26.7,12,207.6
05149,21535,-9,4.2,41729,24.8,7.5,27.2,13.5,207.6
06001,1666753,8622,3,101744,9.8,7.9,22.6,46,279.6
06003,1101,-20,4.6,55384,34.7,-3.9,16.9,30,279.6
06005,39383,832,4,58515,13.8,4,24.4,20.3,279.6
06007,231256,2049,5,50945,20.1,5.6,25.2,26.5,279.6
06009,45602,-40,4,62984,17.5,4.3,24.5,18.7,279.6
06011,21627,-48,12.9,57249,14.1,6.4,25.8,15.4,279.6
06013,1150215,5352,3.2,101463,9.2,7.9,23.4,41.7,279.6
06015,27828,400,5.5,48518,26.6,1.9,19.6,14.3,279.6
06017,190678,1956,3.6,81869,9,1.4,22.3,33.7,279.6
06019,994400,7858,7.5,52318,30.2,3.6,23.4,20.7,279.6
06021,28047,91,6.5,47365,18.6,5.9,25.6,13.9,279.6
06023,136373,-154,3.6,49471,23.2,4.4,20.9,29.8,279.6
06025,181827,253,18.1,46633,30.2,12.1,34.6,14.5,279.6
06027,17987,39,3.9,53793,15.1,4.2,28,26.1,279.6
06029,896764,7776,8,51586,27.4,6.6,27.1,16.1,279.6
06031,151366,1670,7.7,58255,23.2,9.2,27.9,13.5,279.6
06033,64382,220,5.2,45086,26.3,3.9,23.8,15.8,279.6
06035,30802,-321,4.8,57705,15.8,-2.6,19.6,12,279.6
06037,10105518,-13241,4.7,67986,19.9,7.2,24.9,31.8,279.6
06039,157672,1768,7,53632,28.5,3.8,23.5,14.5,279.6
06041,259666,-59,2.4,122933,6.4,8,18.9,58.8,279.6
06043,17471,34,5.3,51402,23.2,1.9,22.9,23.4,279.6
06045,87606,-91,3.9,51386,25.5,5,21.7,24.7,279.6
06047,274765,3425,8.3,56169,28.5,8.7,26.1,14,279.6
06049,8777,-71,7.5,45227,27.2,-2.8,19.4,15.9,279.6
06051,14250,15,3.8,66499,11.6,-4.7,18,30.6,279.6
06053,435594,117,6.3,69665,19.2,7.6,22.4,24.5,279.6
06055,139417,-969,2.9,85624,8.9,7.1,23.8,34.9,279.6
06057,99696,193,3.5,66681,13.7,0.3,21.3,36.6,279.6
06059,3185968,6018,2.9,89373,13.3,10.6,23.5,39.9,279.6
06061,393149,7584,3.2,89175,7.2,1.4,22.1,38.6,279.6
06063,18804,64,7.5,55079,19.6,-2,19.1,23.5,279.6
06065,2450758,33534,4.4,66793,17.1,9.3,30.9,21.8,279.6
06067,1540975,13257,3.8,69475,20.5,8.6,26,30.4,279.6
06069,61537,1338,5.1,80063,11.9,6.2,23.9,19.7,279.6
06071,2171603,18400,4,63310,21.4,7.4,30.9,20.3,279.6
06073,3343364,17896,3.3,78777,14.9,8.6,25.3,38.1,279.6
06075,883305,4139,2.4,110601,10.9,9.2,18.8,57.1,279.6
06077,752660,10144,6,63567,20.5,8.7,25.8,18.4,279.6
06079,284010,1172,2.9,70626,10.8,7.3,23,34.6,279.6
06081,769545,737,2.2,122930,7,8.6,19.6,49.9,279.6
06083,446527,921,3.9,75646,14.7,7.6,21.1,33.8,279.6
06085,1937570,4187,2.6,125933,7.1,7.1,22.4,51.3,279.6
06087,274255,-850,4.9,84213,14.5,8.4,20.4,40,279.6
06089,180040,501,4.9,53908,18.2,2.3,23.4,22.2,279.6
06091,2987,-22,6,52308,18,-2.4,18.7,18.7,279.6
06093,43724,-60,6.7,47560,24.2,-1,20.3,22.5,279.6
06095,446610,2733,3.9,82808,10.2,8.4,24.2,26.2,279.6
06097,499942,-3304,2.7,81002,11.7,7.2,21,34.9,279.6
06099,549815,4548,6.4,59616,21.4,8.3,25.9,16.9,279.6
06101,96807,369,7.5,57879,18,8.4,26.6,17.7,279.6
06103,63916,198,5.7,47572,24.2,4.3,25.2,15.5,279.6
06105,12535,-191,5.7,40680,31.3,1.4,22.1,19.7,279.6
06107,465861,2764,9.6,48763,28.6,2.6,22.4,14.3,279.6
06109,54539,500,4.6,56500,16.5,-0.9,20.2,20,279.6
06111,850967,165,3.8,84170,12.4,6.1,21.9,33.1,279.6
06113,220408,2032,4.2,67804,15.2,8,25.8,41.6,279.6
06115,78041,1266,6.4,47504,21.8,6,25.6,16.7,279.6
08001,511868,7440,3.5,70199,12.6,-3.1,23.4,23.6,285.7
08003,16683,140,4.2,42897,24.3,-5.4,18,26.1,285.7
08005,651215,7083,3.2,76665,10.3,-2.9,22.9,42.2,285.7
08007,13765,448,3.4,53337,20.7,-4.7,18.5,38.9,285.7
08009,3585,22,1.8,38294,29.3,-0.1,24.6,22.1,285.7
08011,5882,25,3.2,37659,30.4,-0.4,25.4,12.4,285.7
08013,326078,2005,2.8,83591,6.7,-3.2,18.8,60.8,285.7
08014,69267,1035,2.9,96924,5.1,-1.3,23.2,55.5,285.7
08015,20027,376,2.7,56168,13.7,-7.3,14.8,33.5,285.7
08017,1876,16,1.8,54504,20.4,-3.4,23.9,20,285.7
08019,9605,23,3,74019,10.2,-6.4,14.2,46.5,285.7
08021,8200,47,4.4,38777,27.5,-6.2,16,20.2,285.7
08023,3828,56,4.3,31557,36.9,-4.4,17.1,19.1,285.7
08025,5858,60,4.4,35880,29.7,-0.8,24.8,9.6,285.7
08027,4954,81,3.7,55242,24.9,-3.9,16.4,36.9,285.7
08029,30953,416,3.9,46786,23.1,-2.7,21.2,21.2,285.7
08031,716492,11053,3.2,68069,16.7,-1.7,23.4,47.9,285.7
08033,2074,21,2.8,47482,16.5,-4.9,18,21.3,285.7
08035,342776,7108,2.9,120670,2.5,-1.9,20.5,57.9,285.7
08037,54993,1,2.7,86896,8.1,-6.3,16.3,48.1,285.7
08039,26282,547,2.8,98247,7.2,-2.8,21.8,35.9,285.7
08041,713856,13056,3.9,67923,13.2,-1.3,21.6,37.9,285.7
08043,48021,414,5.2,47885,22.1,-2.7,19.4,18.2,285.7
08045,59770,657,3.2,74421,11.4,-4.5,19.2,30,285.7
08047,6121,95,2.5,72949,10.1,-5.3,15.3,38.7,285.7
08049,15525,169,2.7,69214,11.7,-7.2,14.9,37.8,285.7
08051,17246,315,2.6,61268,10.4,-8,15.3,55.3,285.7
08053,811,20,2.6,62149,17,-8.2,13.3,43.9,285.7
08055,6889,244,6.5,38242,37.4,-0.6,20.1,21.4,285.7
